57,Mike Conley,57,MEM,4 yrs/$118M  $34.5M ETO 2020,26540100,26540100,28530608,28530608,30521115,30521115,32511623,32511623,34504132,,,,5,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,Michael Conley & Sr.,BDA Sports Management,,$69.8M
58,Clint Capela,58,HOU,Rookie contract  $3.4M QO 2018,1296240,1296240,2334528,,3429422,,,,,,,2,,3,TRUE,,,TRUE,FALSE,,,,Jason Ranne & Darren Matsubara,Wasserman Media Group,,$61.5M
59,Eric Bledsoe,59,PHX,3 yrs/$43.5M,14000000,14000000,14500000,14500000,15000000,15000000,,,,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,Rich Paul,Klutch Sports Group,,$110.6M
60,Jaylen Brown,60,BOS,Rookie contract  $8.6M QO 2020,4743000,4743000,4956480,4956480,5169960,,6534829,,8573696,,,,,,,,,,,,,,,,,$16.2M
61,CHA 2017 1st,61,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,NYK 2018 1st,62,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Paul Millsap,63,ATL,1 yr/$18.7M  $21.5M PO 2017,20072033,20072033,21472407,,,,,,,,2,,,,TRUE,,,FALSE,TRUE,,,,Brendrick DeAngelo Simmons,VSSMA,,$152.5M
64,Jamal Murray,64,DEN,Rookie contract  $6M QO 2020,3210840,3210840,3355320,3355320,3499800,,4444746,,5960404,,,8,,5,TRUE,,,TRUE,,,,,Mike George,Excel Sports Management,,$33.3M
65,Jae Crowder,65,BOS,4 yrs/$28.2M,6286408,6286408,6796117,6796117,7305825,7305825,7815533,7815533,,,,,,,TRUE,,,FALSE,TRUE,,,,Glenn Schwartzman,Paramount Sports & Entertainment,,$99.4M
66,LAL 2018 1st (Stepien  To PHL if 2017 not settled),66,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,MIA 2018 1st (1-7  else to PHX),67,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,DAL 2017 1st (1-18),68,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Khris Middleton,69,MIL,3 yrs/$42.3M  $13M PO 2019 (out until March),15200000,15200000,14100000,14100000,13000000,13000000,13000000,,,,,4,,,TRUE,,,FALSE,TRUE,,,,Michael Lindeman,Excel Sports Management,,$84.7M
70,Zach LaVine,70,MIN,Rookie contract  $4.4M QO 2018 *Out for 2017 (ACL),2240880,2240880,3202218,,4428667,,,,,,,2,,3,TRUE,FALSE,FALSE,TRUE,FALSE,,,,Nima Namakian & Bill Duffy,BDA Sports Management,,$51.8M
71,Justise Winslow,71,MIA,Rookie contract  $4.7M QO 2019 *Out for 2017 (shoulder),2593440,2593440,2705040,,3448926,,4697437,,,,,7,,4,TRUE,,,TRUE,FALSE,,,,Joe Branch & Juan Perez,Roc Nation Sports,,$108.9M
72,BRK 2019 1st (Stepien),72,BRK,Untradable - Stepien,,,,,,,,,,,,,,,,,,,,,,,,,,
73,MIA 2019 1st (Stepien  to PHX if MIA 2018 1st is 1-7),73,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Al Horford,74,BOS,3 yrs/$83.2M  30.1M PO 2020,26540100,26540100,27734405,27734405,28928710,28928710,30123015,,,,4,,,,TRUE,,,,TRUE,,,,Jason Glushon,,,$104.7M
75,DeMar DeRozan,75,TOR,4 yrs/$110M  $27.7M PO 2020,26540100,26540100,27739975,27739975,27739975,27739975,27739975,27739975,27739975,,5,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,$65.7M
76,MIN 2018 1st (1-14  15-30 to ATL),76,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,MIA 2018 1st (8-30  else 2019),77,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,DAL 2018 1st,78,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,NOP 2017 1st (4-30),79,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Otto Porter,80,WAS,1 yr/$5.9M  $7.7M QO 2017,5893981,5893981,7732904,,,,,,,,,,,2,TRUE,,,TRUE,,,,,,,,$128.2M
81,Bradley Beal,81,WAS,5 yrs/$127.2M,22116750,22116750,23775506,23775506,25434263,25434263,27093019,27093019,28751775,28751775,,,,,TRUE,,,,TRUE,,,,Reggie Brown,Priority Sports & Entertainment,,$89.7M
82,Evan Fournier,82,ORL,4 yrs/$68M  $17M PO 2020,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,,5,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,Bouna Ndiaye,Comsport,,$67.1M
83,Kentavious Caldwell-Pope,83,DET,1 yr/$3.7M  $5M QO 2017,3678319,3678319,4958374,,,,,,,,,,,2,TRUE,,,TRUE,,,,,Rich Paul,Klutch Sports Group,,$104.5M
84,ATL 2018 1st,84,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ATL 2019 1st,85,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,SAC 2020 1st,86,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,DEN 2017 1st,87,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,MIL 2017 1st,88,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Jabari Parker,89,MIL,Rookie contract  $8.9M QO 2018 *Out for 2017 (ACL),5374320,5374320,6782392,,8851021,,,,,,,2,,3,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,$62.4M
90,Marquese Chriss,90,PHX,Rookie contract  $5.5M QO 2020,2941440,2941440,3073800,3073800,3206160,,4078236,,5497461,,,8,,5,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,$33.9M
91,Markieff Morris,91,WAS,3 yrs/$24M,7400000,7400000,8000000,8000000,8600000,8600000,,,,,,,,,TRUE,,,,TRUE,,,,Leon Rose,CAA Sports,,$15.8M
92,DAL 2019 1st,92,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Dario Saric,93,PHL,Rookie contract  $4.8M QO 2020,2318280,2318280,2422560,2422560,2526840,,3481986,,4791212,,,8,,5,TRUE,FALSE,FALSE,TRUE,FALSE,,,,Misko Raznatovic,Beo Basket Ltd.,,
94,Marcus Smart,94,BOS,Rookie contract  $6.1M QO 2018,,,,,,,,,,,,,,,,,,,,,,,Jason Ranne,Wasserman Media Group,,$156.5M
95,Julius Randle,95,LAL,Rookie contract  $5.6M QO 2018,3267120,3267120,4149242,4149242,5564134,,,,,,,2,,3,TRUE,,,TRUE,FALSE,,,,Aaron Mintz & Steven Heumann,CAA Sports,,$7.7M
96,MIA 2017 1st,96,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Jonas Valanciunas,97,TOR,3 yrs/$46.4M  $17.6M PO 2019,14382023,14382023,15460675,15460675,16539326,16539326,17617976,,,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,Leon Rose,CAA Sports,,$71.1M
98,Nerlens Noel,98,DAL,1 yr/$4.4M  $5.8M QO 2017,4384490,4384490,5848910,,,,,,,,,,,2,TRUE,,,TRUE,FALSE,,,,Andy Miller,ASM Sports,,$140.2M
99,Carmelo Anthony,99,NYK,2 yrs/$50.8M  $28M ETO 2018  No-trade clause,24559380,24559380,26243760,26243760,27928140,,,,,,,,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,Leon Rose,CAA Sports,,$75.5M
100,Derrick Favors,100,UTH,2 yrs/$23.1M ,11050000,11050000,12000000,12000000,,,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Wallace Prather,Perennial SE,,$142.7M
101,ATL 2020 1st,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Dennis Schroder,400,ATL,5 yrs/$72.7M (4 yr/$70M ext),,,,,,,,,,,,,,2,TRUE,,,TRUE,FALSE,,,,Alex Saratsis,Octagon,,$50.6M
103,ATL 2021 1st,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ATL 2022 1st,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ATL 2023 1st,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Dwight Howard,400,ATL,3 yrs/$70.5M,23180275,23180275,23500000,23500000,23819725,23819725,,,,,,,,,,,,,,,,,Perry Rogers,,,$38.6M
107,Taurean Prince,400,ATL,Rookie contract  $4.8M QO 2020,2318280,2318280,2422560,2422560,2526840,,3481986,,4791212,,,8,,5,TRUE,,,TRUE,FALSE,,,,Mitch Frankel,Impact Sports Management,,$29.2M
108,MIN 2018 1st (15-30 through 2020  else 2020/21 2nds),400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ATL 2017 1st,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Kent Bazemore,400,ATL,3 yrs/$50.7M  $19.3M PO 2019,15730338,15730338,16910113,16910113,18089887,18089887,19269662,,,,,,,,,,,,,,,,Austin Walton,Walton Sports Management Group,,$26.2M
111,DeAndre Bembry,400,ATL,Rookie contract  $3.8M QO 2020,1499760,1499760,1567200,1567200,1634640,,2603982,,3752337,,,8,,5,TRUE,,,TRUE,FALSE,,,,Adam Pensack,Pensack Sports,,$43.0M
112,CLE 2019 1st (11-30 through 2020  else 2021/22 2nds),400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
